year,state,candidate,party_simplified,candidatevotes,totalvotes,vote_pct,margin
2000,ALABAMA,"BUSH, GEORGE W.",REPUBLICAN,941173,1666272,56.48375535326765,
2000,ALABAMA,"GORE, AL",DEMOCRAT,692611,1666272,41.56650294789806,14.917252405369595
2000,ALASKA,"BUSH, GEORGE W.",REPUBLICAN,167398,285560,58.620955315870575,
2000,ALASKA,"GORE, AL",DEMOCRAT,79004,285560,27.666339823504693,30.95461549236588
2000,ARIZONA,"BUSH, GEORGE W.",REPUBLICAN,781652,1532016,51.02113816043696,
2000,ARIZONA,"GORE, AL",DEMOCRAT,685341,1532016,44.73458501738885,6.28655314304811
2000,ARKANSAS,"BUSH, GEORGE W.",REPUBLICAN,472940,921781,51.30719769663293,
2000,ARKANSAS,"GORE, AL",DEMOCRAT,422768,921781,45.86425626043496,5.4429414361979696
2000,CALIFORNIA,"BUSH, GEORGE W.",REPUBLICAN,4567429,10965822,41.651496805255455,
2000,CALIFORNIA,"GORE, AL",DEMOCRAT,5861203,10965822,53.44973682775446,11.798240022499002
2000,COLORADO,"BUSH, GEORGE W.",REPUBLICAN,883748,1741368,50.7502147736722,
2000,COLORADO,"GORE, AL",DEMOCRAT,738227,1741368,42.39350901130605,8.356705762366147
2000,CONNECTICUT,"BUSH, GEORGE W.",REPUBLICAN,561094,1459525,38.4436032270773,
2000,CONNECTICUT,"GORE, AL",DEMOCRAT,816015,1459525,55.909628132440346,17.46602490536305
2000,DELAWARE,"BUSH, GEORGE W.",REPUBLICAN,137288,327529,41.91628832866708,
2000,DELAWARE,"GORE, AL",DEMOCRAT,180068,327529,54.9777271630909,13.061438834423823
2000,DISTRICT OF COLUMBIA,"BUSH, GEORGE W.",REPUBLICAN,18073,201894,8.951727143946824,
2000,DISTRICT OF COLUMBIA,"GORE, AL",DEMOCRAT,171923,201894,85.15508137933767,76.20335423539085
2000,FLORIDA,"BUSH, GEORGE W.",REPUBLICAN,2912790,5963110,48.84682657204043,
2000,FLORIDA,"GORE, AL",DEMOCRAT,2912253,5963110,48.83782120403615,0.0090053680042814
2000,GEORGIA,"BUSH, GEORGE W.",REPUBLICAN,1419720,2583208,54.95956965137921,
2000,GEORGIA,"GORE, AL",DEMOCRAT,1116230,2583208,43.21099965624139,11.74856999513782
2000,HAWAII,"BUSH, GEORGE W.",REPUBLICAN,137845,367951,37.46286869719066,
2000,HAWAII,"GORE, AL",DEMOCRAT,205286,367951,55.791667912303545,18.328799215112888
2000,IDAHO,"BUSH, GEORGE W.",REPUBLICAN,336937,501615,67.17043948047807,
2000,IDAHO,"GORE, AL",DEMOCRAT,138637,501615,27.638128843834416,39.53231063664365
2000,ILLINOIS,"BUSH, GEORGE W.",REPUBLICAN,2019421,4742108,42.58487997321023,
2000,ILLINOIS,"GORE, AL",DEMOCRAT,2589026,4742108,54.59652120955491,12.01164123634468
2000,INDIANA,"BUSH, GEORGE W.",REPUBLICAN,1245836,2199302,56.6468816015263,
2000,INDIANA,"GORE, AL",DEMOCRAT,901980,2199302,41.01210293083896,15.63477867068734
2000,IOWA,"BUSH, GEORGE W.",REPUBLICAN,634373,1353022,46.88563822317745,
2000,IOWA,"GORE, AL",DEMOCRAT,638517,1353022,47.19191557860848,0.3062773554310283
2000,KANSAS,"BUSH, GEORGE W.",REPUBLICAN,622332,1072216,58.0416632469577,
2000,KANSAS,"GORE, AL",DEMOCRAT,399276,1072216,37.23839226424526,20.803270982712437
2000,KENTUCKY,"BUSH, GEORGE W.",REPUBLICAN,872520,1544106,56.5064833631888,
2000,KENTUCKY,"GORE, AL",DEMOCRAT,638923,1544106,41.37818258591055,15.128300777278248
2000,LOUISIANA,"BUSH, GEORGE W.",REPUBLICAN,927871,1765656,52.551063174253656,
